# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro Completo Delle Modifiche
d11_restaurant_payment_desc	Commercio civile
finances_category_civilian_commerce	Commercio civile
d11_mealquality	Qualità dei pasti
policy_staff_keys	Permetti chiavi staff
d11_report_policy_staffKeys_hint	Se attivato, tutto lo staff assunto sarà in possesso di chiavi. \nQuando questa opzione è selezionata, migliorerà l'efficienza della prigione. \nLa presenza di più chiavi in circolazione aggiunge un rischio alla sicurezza.
codex_new_uniformColour	Colore uniforme:
codex_new_defaultColour	Colore predefinito:
objectiveWindow_FilterButton_2_title	Informazioni su Seconde Opportunità
objectiveWindow_FilterButton_2_toolTip	Aiuto e informazioni sul DLC Seconde Opportunità
objective_WorkCredentials	Credenziali lavorative
objective_WorkCredentials_child_1	Credenziali lavorative preesistenti del detenuto
objective_WorkCredentials_child_1_Description	Prima della reclusione, i detenuti fino al livello di sicurezza massimo possono avere una certa esperienza grazie agli impieghi precedenti. I detenuti che hanno una formazione in un particolare settore possono partecipare a un impiego rilevante per la loro esperienza e il rispettivo programma di formazione non sarà necessario.
objective_WorkCredentials_child_2	Effetto delle credenziali lavorative sui detenuti
objective_WorkCredentials_child_2_Description	Guadagnare determinate credenziali influenzerà certe reputazioni e in alcuni casi permetterà di saltare la formazione, se non è già stata completata. \n\nI cuochi possono ottenere le reputazioni Abile picchiatore e Collegato e possono saltare l'addestramento Sicurezza in cucina. \n\nGli inservienti possono ottenere le reputazioni Veloce e Maniaco della pulizia. \n\nGli artigiani possono ottenere le reputazioni Maniaco del lavoro e Abile picchiatore e possono saltare l'addestramento Officina. \n\nI manovali possono ottenere le reputazioni Forte e Duro. \n\nGli addetti al servizio clienti possono ottenere le reputazioni Istigatore e Predicatore e possono saltare la formazione lavorativa/programmi sociali.
objective_WorkExperience	Esperienza lavorativa
objective_WorkExperience_child_2_Description	Un detenuto può ottenere esperienza lavorativa in 3 modi: \n\nProgrammi di formazione: i detenuti che completano da 1 a 3 programmi (Sicurezza in officina, Sicurezza in cucina o Formazione Tre possibilità) otterranno il 50% di esperienza richiesta nei rispettivi campi (Cucina, Artigianato o Servizio clienti). \n\nCredenziali lavorative preesistenti: un detenuto potrebbe arrivare in prigione con esperienze precedenti nel relativo settore. \n\nLavoro carcerario: un detenuto che prende parte ai lavori carcerari otterrà esperienza nel relativo settore.
objective_NewRooms	Nuove stanze
objective_NewRooms_child_4_Description	Il panificio offre ai detenuti l'opportunità di accedere a tipologie di contrabbando esistenti e nuove. Con la possibilità di avere un numero considerevole di detenuti e civili presenti, c'è il rischio che i detenuti possano diventare violenti in determinate situazioni.
objective_NewRooms_child_8_Description	Il ristorante offre ai detenuti l'opportunità di accedere a tipologie di contrabbando esistenti e nuove. Con la possibilità di avere un numero considerevole di detenuti e civili presenti, c'è il rischio che i detenuti possano diventare violenti in determinate situazioni.
objective_ScaredStraight	Programma Tre possibilità
objective_ScaredStraight_child_1	Addestramento dei detenuti per il programma
objective_ScaredStraight_child_2	Funzionamento del programma
objective_ScaredStraight_child_2_Description	Il programma invita i civili che hanno ricevuto l'ultimo avvertimento dalla legge a scoprire dai detenuti la realtà della vita carceraria. Durante la sessione, detenuti e civili formeranno due gruppi. I detenuti, a loro volta, parteciperanno al gruppo per trasmettere le proprie conoscenze e storie sul perché la prigione dovrebbe essere evitata. \n\nUna guardia supervisionerà le sessioni di gruppo perché tutto proceda senza intoppi.
objective_ScaredStraight_child_3	Vantaggi del completamento del programma
objective_ScaredStraight_child_3_Description	I detenuti riceveranno un piccolo miglioramento al tasso di recidività. Inoltre, il completamento del programma aumenterà la loro esperienza lavorativa. In più, il punto di rabbia dei detenuti si ridurrà, e i detenuti riceveranno un bonus per le esigenze legate alla famiglia e/o libertà.
objective_BehaviouralPrograms	Nuovi programmi comportamentali
objective_BehaviouralPrograms_child_1	Programma Terapia con animali
objective_BehaviouralPrograms_child_1_Description	La terapia con animali è simile ad altri programmi esistenti, ma porta benefici ai detenuti che completano il corso. \n\nIl programma è suddiviso in sessioni multiple. I detenuti che partecipano e completano il programma avranno una riduzione del tasso di recidività, una riduzione del punto di rabbia e un piccolo miglioramento alle necessità di lusso, comfort e libertà. Inoltre avranno una possibilità di rimuovere eventuale reputazione negativa.
objective_BehaviouralPrograms_child_2	Programma Risoluzione dei conflitti
objective_BehaviouralPrograms_child_3	Consulto ex detenuto
objective_SentenceReductions	Riduzioni ed estensioni della sentenza
objective_SentenceReductions_child_1	Aggiungere e sottrarre tempo alla sentenza del detenuto attraverso il suo comportamento
objective_ReleasedPrisoners	Detenuti scarcerati
objective_ReleasedPrisoners_child_1	Ricompense e punizioni per riabilitazione e recidività
objective_ReleasedPrisoners_child_1_Description	I detenuti scarcerati potranno iniziare una nuova vita, oppure ricadere nelle vecchie abitudini e tornare in prigione. \n\nPer ogni detenuto riabilitato, verrà corrisposto un bonus in denaro. \n\nPer ogni detenuto recidivo che torna in prigione, verrà emessa una multa per il fallimento della riabilitazione.
objective_ReleasedPrisoners_child_2	Ritorno detenuti
objective_LabourWages	Paghe lavoro carcerario
objective_LabourWages_child_1	Regolamento Paghe lavoro carcerario ed effetti
objective_PrisonerGrantBonus	Bonus sovvenzione detenuto
objective_PrisonerGrantBonus_child_1	Vantaggi del Tasso di recidività ridotto
objective_PrisonerGrantBonus_child_1_Description	Nelle prigioni con un programma di riabilitazione di successo, i bassi tassi di criminalità verranno riconosciuti con un aumento del valore pagato per detenuto ogni giorno. Più basso è il tasso, più alto è il bonus giornaliero.\nPuoi trovare questo guadagno aggiuntivo nel menu Finanza, sotto il nome di Bonus sovvenzione detenuto.
crisisToolbarTitle_DrugBust	Perquisizione narcotici
buildtoolbar_DrugBust	Perquisizione narcotici
buildtoolbar_tooltip_DrugBust	Invia a tutte le guardie cinofile l'ordine di perquisire la prigione per trovare narcotici nascosti di contrabbando.
drug_bust_underway	PERQUISIZIONE NARCOTICI IN CORSO
objective_grant_bakeryProduction	Abilità produzione panificio
objective_grant_bakeryProduction_description	La preparazione e la vendita di prodotti di buona qualità ai clienti paganti è sia un'abilità, sia un importante traguardo per i detenuti che cercano un potenziale percorso di carriera al momento della scarcerazione.\n\nI detenuti otterranno una paga e la prigione otterrà un guadagno.
objective_grant_bakeryProduction_bakery	Costruisci un panificio
objective_grant_bakeryProduction_bakedGoods	Vendi 25 prodotti da forno ai clienti
objective_grant_restaurantService	Programma servizio ristorante
objective_grant_restaurantService_description	Permettere ai detenuti di ottenere una paga e offrire un servizio ai civili in visita è un ottimo modo per introdurre un po' di normalità nelle vite dei detenuti.\n\nInoltre, la prigione godrà dei vantaggi delle entrate generate dai prodotti venduti.
objective_grant_restaurantService_restaurant	Costruisci un ristorante
objective_grant_restaurantService_serveCustomers	Servi 30 civili
objective_grant_reformedPrisoner	Iniziativa Detenuto riabilitato
objective_grant_reformedPrisoner_description	Il governo si sta concentrando sui vantaggi dell'investire sui detenuti, e vuole sostenere le prigioni che li riabilitano con successo. \n\nI programmi Detenuto riabilitato giocano un ruolo fondamentale nella riabilitazione dei detenuti dopo la scarcerazione. Essi forniscono ai detenuti la miglior possibilità di dare una svolta alle proprie vite.
objective_grant_reformedPrisoner_reformedPrisoners	Ottieni 100 detenuti riabilitati dopo la scarcerazione
objective_grant_prisonerReoffendRate	Tasso di recidività del detenuto
objective_grant_prisonerReoffendRate_description	Ridurre il tasso di recidività dei detenuti è un bene per tutti. La probabilità di recidività dei detenuti si riduce quando questi ricevono assistenza sanitaria, ottengono opportunità di vita, partecipano ai programmi di riabilitazione e vengono protetti da una sicurezza adeguata.
objective_grant_prisonerReoffendRate_reduceRate	Riduci il tasso di recidività medio al 30%
objective_grant_reformProgramResearch	Ricerca Programma di riabilitazione
objective_grant_reformProgramResearch_description	Studi preliminari hanno dimostrato che i programmi che riescono a ridurre le tendenze violente e a ridurre i conflitti sono una delle migliori opportunità per i detenuti che vogliono reintegrarsi nella società.\n\nImposta una serie di programmi di riabilitazione per scoprirne gli effetti positivi.
objective_grant_reformProgramResearch_enrollAnimalTherapy	Iscrizione di 10 detenuti alla Terapia con animali
objective_grant_reformProgramResearch_passAnimalTherapy	1 detenuto ha superato la Terapia con animali
objective_grant_reformProgramResearch_enrollJuvenileCorrection	Iscrizione di 10 detenuti al Programma Tre possibilità
objective_grant_reformProgramResearch_passJuvenileCorrection	Detenuto ha superato il Programma Tre possibilità
objective_grant_reformProgramResearch_enrollPrisonerConsultation	Iscrizione di 10 detenuti al Consulto detenuto riabilitato
objective_grant_reformProgramResearch_passPrisonerConsultation	1 detenuto ha superato il Consulto detenuto riabilitato
grant_category_ReformPassed	Almeno un detenuto ha superato
dlc_name_shelby	Seconde Opportunità
d11_reform_design_info	Minore è il tasso di recidività, più alta sarà la possibilità che la riabilitazione dei detenuti abbia successo. Il modo migliore per abbassare il tasso di recidività dei detenuti è aumentarne la valutazione. La valutazione si basa sulla loro salute, sul superamento dei programmi di riabilitazione, sull'esperienza lavorativa ottenuta e altri punti simili. Troverai maggiori informazioni più sotto.
d11_reform_punishment_grade_tooltip_title	Valutazione punizione media
d11_reform_reform_grade_tooltip_title	Valutazione riabilitazione media
d11_reform_work_exp_grade_tooltip_title	Valutazione esperienza lavorativa media
d11_reform_security_grade_tooltip_title	Valutazione sicurezza media
d11_reform_health_grade_tooltip_title	Valutazione salute media
reformProgram_ConflictResolution_text	Un ex detenuto riabilitato verrà a parlare delle possibili difficoltà dopo la scarcerazione. Verranno riprodotti diversi scenari problematici che insegneranno ai detenuti a evitare di ricorrere alla violenza.
d11_LabourManagement_MealType_hint	I clienti pagheranno una somma maggiore per pasti di qualità più alta e saranno più soddisfatti, ma una qualità più alta richiede tempi di cottura più lunghi.
objective_WorkExperience_child_1	Introduzione all'esperienza lavorativa
objective_WorkExperience_child_1_Description	Ora l'esperienza lavorativa dei detenuti verrà documentata. Questo li aiuterà sia in prigione sia a riabilitarsi come cittadini modello. Ad esempio, dopo aver acquisito esperienza in un settore specifico, i detenuti svolgeranno lavori associati a tale settore in modo più efficiente rispetto al passato. I detenuti con il 50% in Cucina, Artigianato o Assistenza clienti possono svolgere qualsiasi lavoro correlato senza completare la relativa formazione. Inoltre, raggiungendo il 50% e il 100% di esperienza in qualsiasi settore lavorativo, i detenuti otterranno punti per il tasso di recidività.
objective_WorkExperience_child_2	Come ottenere esperienza lavorativa
objective_NewRooms_child_2	Nuove stanze - Detenuti compatibili
objective_NewRooms_child_2_Description	I detenuti con l'esperienza richiesta in cucina o nel servizio clienti potranno lavorare nel panificio o nel ristorante. Il livello di esperienza richiesto per entrambi i settori è del 50% e i detenuti possono ottenerlo completando il programma di formazione appropriato.
objective_NewRooms_child_3	Nuove stanze - Gestione delle stanze
objective_NewRooms_child_9	Stanza del Ristorante - Soddisfazione cliente
objective_BehaviouralPrograms_child_2_Description	L'obiettivo della Risoluzione dei conflitti è educare i detenuti a meglio affrontare le difficoltà e le situazioni del mondo reale senza ricorrere alla violenza. Questo programma è gestito da ex detenuti. In questo modo le sessioni sono più aperte e costruttive. Il programma è suddiviso in sessioni multiple. Dopo il completamento, i detenuti avranno: una riduzione del punto di rabbia e la possibilità di rimuovere eventuale reputazione comportamentale violenta.
objective_BehaviouralPrograms_child_3_Description	Gli ex detenuti che si sono riabilitati dopo aver lasciato la prigione sono invitati come ospiti per parlare con gli attuali detenuti. I detenuti apprezzano molto quando a parlare è "uno di loro", ed è più probabile che si aprano e condividano quello che pensano con un insegnante che è stato nella loro stessa posizione. \n\nIl programma è suddiviso in più sessioni. Dopo il completamento, i detenuti avranno: una riduzione del tasso di recidività, miglioramento o riduzione di esigenze specifiche come famiglia, libertà e sicurezza, nonché la possibilità di rimuovere eventuale reputazione comportamentale negativa.
objective_LabourWages_child_1_Description	Il lavoro carcerario viene retribuito con una paga oraria. La formazione necessaria per il lavoro carcerario varia da nessuna necessità di formazione a sessioni di formazione multiple.\nLa paga può essere adattata a ciascuna tipologia di lavoro dal menu Finanza. Paghe più alte motivano i detenuti a partecipare al lavoro carcerario e ai relativi programmi.
