# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lista de mudanças completa
experience_WorkLabourer_desc	Os prisioneiros que ganham experiência neste campo aumentarão a eficiência em trabalhos manuais.
experience_WorkRCS_desc	Os prisioneiros que têm 50% de experiência neste campo podem participar diretamente do programa "3 Advertências" e trabalho de atendimento, e maior experiência também aumenta a eficiência nos trabalhos relacionados ao atendimento ao cliente.
d11_cleaner	Faxineiro
d11_craftsman	Artesão
d11_labourer	Obreiro
d11_RACS	Atendimento ao Cliente
experiencefactor_FactorWorkExperience	Tem *X% de experiência de trabalho em todas as especialidades
d11_reform_average_reoffending_rate_x_days	Média de reincidência % (-*X dias)
d11_reform_average_punishment_grade	Grau médio de punição
d11_reform_average_health_grade	Grau médio de saúde
d11_reform_average_security_grade	Grau médio de segurança
d11_reform_average_exp_grade	Grau médio de experiência de trabalho
d11_reform_average_reform_grade	Grau médio de reintegração
d11_reform_progrom_live	Programas de Reintegração de Vida
d11_reform_program_places	Lugares no Programa de Reintegração
d11_reform_program_attendance	Participação no Programa de Reintegração
d11_reform_program_pass_rate	Taxa de Aprovação em Programa de Reintegração
d11_reform_released_prisoners_design_info	Uma vez que um detento tenha sido libertado da penitenciária, você receberá notificações de suas ações subsequentes, dependendo se ele foi reincidente ou reintegrado, e se encontrou trabalho; sua prisão será multada ou recompensada, respectivamente.
d11_reform_prisoners_action_reformed	REINTEGRADOS!
d11_reform_prisoners_action_reoffended	REINCIDENTES!
d11_reform_prisoners_action_reoffended_returned	*X foi reenviado à sua prisão.
d11_reform_prisoners_outcome_reformed	Encontraram trabalho na cidade *X.
d11_reform_prisoners_outcome_reoffended	Foram presos e voltarão para a prisão.
d11_reform_prisoners_outcome_reoffended_returned	Tome cuidado, pois os prisioneiros se tornam mais perigosos com o aumento de vezes que são presos.
d11_reform_reformed_prisoner_rewards	Recompensas por Prisioneiro Reintegrado (ontem)
d11_reform_reformed_reoffending_prisoner_fines	Multas da Reincidência na Prisão (ontem)
d11_reform_reoffending_stats_title	Estatísticas em % de Reincidência
d11_reform_initial_reoffending_chance	% de Reincidência Inicial:
d11_reform_current_reoffending_chance	Reincidência atual %:
d11_reform_reoffending_chance_delta	Mudança de % de reincidência:
d11_reform_job_outcome_cook	Restaurante
d11_reform_job_outcome_cleaner	Agência de Limpeza
d11_reform_job_outcome_craftsman	Fábrica
d11_reform_job_outcome_labourer	Construtora
d11_reform_job_outcome_RAC	Shopping Center
d11_reform_job_outcome_default	Correios
d11_reform_required_reoffending_rate_title	% De Corte de Liberdade Condicional:
d11_reform_no_prisoners_found	Nenhum prisioneiro encontrado!
d11_all_prisoner_wages	Todos os salários dos presidiários
d11_report_policy_wage_hint	Salários mais altos motivam os detentos a participar do trabalho prisional e de programas relacionados ao trabalho.
d11_wage	Salário
d11_adjust_wage_description	Os prisioneiros recebem um salário pela participação em empregos pela prisão. Os salários podem ser ajustados de forma individual ou global para cada tipo de trabalho. Como os empregos variam na quantidade de treinamento necessário, existe a oportunidade de aumentar o salário por hora ganho pelos detentos em funções mais qualificadas.
d11_intake_arrival_caption	Chegada da Admissão
d11_intake_arrival_tooltip	O horário padrão de chegada de uma nova admissão de prisioneiros na prisão é 8 da manhã, então esta opção permite que você personalize este horário para atender às suas necessidades carcerárias.
d11_intake_restrictions_caption	Remover Restrições de Admissão
d11_intake_restrictions_tooltip	Eventos problemáticos como motins de prisioneiros ou greves de funcionários costumam bloquear a admissão de prisioneiros até o próximo dia disponível. Esta opção permitirá que os prisioneiros sejam enviados à sua prisão em qualquer circunstância (desde que haja uma área de entrega disponível.
rapsheet_stint	Nº de prisões
reform_reward	Recompensa por Presidiário Reintegrado
help_warning_prisonerreleased	Os Programas de Reintegração são a chave para que os detentos se reintegrem na sociedade. Alguns infratores conseguirão começar uma vida nova, enquanto outros cairão na antiga vida e reincidirão. Os prisioneiros reintegrados trarão uma recompensa extra em dinheiro, mas alguns prisioneiros reincidentes poderão retornar à prisão. Você não apenas receberá uma multa por sua reabilitação fracassada, mas eles também podem ter adquirido maus hábitos adicionais enquanto estavam fora.
finances_category_reformed	Prisioneiros Reintegrados
finances_category_reoffended	Multas de Reincidência
finances_category_prisonerbonus	Bônus de Subsídio de Detentos
d11_labour_management	Gestão do Trabalho
d11_LabourManagementDescription	Este menu oferece controle sobre os detentos autorizados a trabalhar aqui, os horários de trabalho, além de opções rápidas de alocação de guarda.
d11_HighestSecurityLevel	Mais Alto Nível de Segurança
d11_LabourManagement_RegimeActivity_hint	Selecione os espaços de regime disponíveis em que os clientes podem chegar, entre Trabalho, Tempo Livre ou ambos.
d11_LabourManagement_HighestSecurityLevel_hint	O nível máximo de segurança dos prisioneiros autorizados a trabalhar aqui, incapazes de neutralizar o setor de segurança da sala.
d11_LabourManagement_GuardDeployment_hint	Um jeito rápido de designar guardas para a área enquanto os civis estão presentes.
d11_dollar_per_hour	$*X/ Hora
d11_incomplete	Incompleto
d11_restaurant_payment_desc	Comércio Civil
finances_category_civilian_commerce	Comércio Civil
d11_mealquality	Qualidade das Refeições
policy_staff_keys	Permitir funcionários-chave
d11_report_policy_staffKeys_hint	Se habilitada, todos os funcionários contratados carregarão chaves.\nEmbora esta opção selecionada a melhore eficiência dentro da prisão,\nela também introduz um risco adicional de segurança com mais chaves em circulação.
codex_new_uniformColour	Cor uniforme:
codex_new_defaultColour	Cor padrão:
objectiveWindow_FilterButton_2_title	Sobre o DCL "Segundas Chances"
objectiveWindow_FilterButton_2_toolTip	Ajuda e informações relacionadas ao novo DLC "Segundas Chances".
objective_WorkCredentials	Credenciais de Trabalho
objective_WorkCredentials_child_1	Credenciais de Trabalho Preexistentes de Prisioneiro
objective_WorkCredentials_child_1_Description	Antes da prisão, detentos até o nível máximo de segurança podem ter certa experiência devido a profissões anteriores. Os presidiários com formação em uma determinada área podem participar de um trabalho relacionado com sua experiência sem a necessidade do respectivo programa de treinamento.
objective_WorkCredentials_child_2	Efeito de Credenciais de Trabalho sobre Prisioneiros
objective_WorkCredentials_child_2_Description	Obter certas credenciais de trabalho imbui certas reputações e, se ainda não aprovadas, possibilita ignorar certos treinamentos em alguns casos.\n\nOs cozinheiros podem ganhar a reputação "Lutador Habilidoso" e "Conectado", podendo ignorar o treinamento "Segurança na Cozinha".\n\nOs limpadores podem ganhar tanto a reputação "Rápido" quanto "Limpo".\n\nOs artesãos podem ganhar a reputação "Viciado em Trabalho" e "Lutador Habilidoso", podendo ignorar o "Treinamento de Oficina".\n\nOs obreiros podem ganhar a reputação "Forte" e "Resistente".\n\nOs trabalhadores de Atendimento ao Cliente podem ganhar a reputação "Instigador" e "Pregador", podendo ignorar o "Treinamento de Trabalhos/Programas Sociais".
objective_WorkExperience	Experiência de Trabalho
objective_WorkExperience_child_2_Description	Há 3 maneiras de se ganhar experiência de trabalho para os detentos:\n\nProgramas de Treinamento: os detentos que concluírem 1 dos 3 programas de treinamento (Segurança na Oficina, Segurança na Cozinha ou o Treinamento de 3 Advertências) ganharão 50% da experiência necessária na respectiva área (culinária, artesanato ou atendimento ao cliente, respectivamente).\n\nCredenciais de Trabalho Preexistentes: um presidiário pode chegar à prisão com experiência prévia no campo relevante.\n\nTrabalho prisional: qualquer recluso que participe de um trabalho prisional ganhará experiência no campo relevante.
objective_NewRooms	Novas Salas
objective_NewRooms_child_4_Description	A Padaria possibilita aos prisioneiros a oportunidade de coletar tipos de contrabando novos e existentes. Com o potencial de ter um número substancial de prisioneiros e civis presentes, há uma chance de os prisioneiros se tornarem violentos em certas situações.
objective_NewRooms_child_8_Description	O Restaurante possibilita aos prisioneiros a oportunidade de coletar tipos de contrabando novos e existentes. Com o potencial de ter um número substancial de prisioneiros e civis presentes, há uma chance de os prisioneiros se tornarem violentos em certas situações.
objective_ScaredStraight	Programa "3 Advertências"
objective_ScaredStraight_child_1	Treinamento de Prisioneiros para o Programa
objective_ScaredStraight_child_2	Como funciona o programa
objective_ScaredStraight_child_2_Description	O programa convida os civis na última advertência com a lei a entrar na prisão para aprender diretamente com os presos sobre as realidades da vida na penitenciária. Durante a sessão, detentos e civis formarão dois grupos. Os presidiários, por sua vez, se dirigirão ao grupo para transmitir seus conhecimentos e histórias sobre os motivos pelas quais a prisão deve ser evitada.\n\nUm guarda supervisionará o funcionamento harmonioso e ordenado das sessões em grupo.
objective_ScaredStraight_child_3	Benefícios da Conclusão do Programa
objective_ScaredStraight_child_3_Description	Os presidiários receberão um pequeno reforço na taxa de reincidência e o aumento apropriado em sua experiência de trabalho por concluir o programa. Além disso, os detentos também apresentarão uma redução no ponto de explosão e também receberão um bônus para as necessidades de Família e/ou Liberdade.
objective_BehaviouralPrograms	Novos Programas Comportamentais
objective_BehaviouralPrograms_child_1	Programa "Terapia com Animais"
objective_BehaviouralPrograms_child_1_Description	A Terapia com Animais é semelhante a outros programas existentes, mas traz um reforço extra aos prisioneiros que concluem o curso.\n\nO programa é dividido em várias sessões. Os detentos que comparecerem e o concluírem apresentarão uma redução da taxa de reincidência, uma redução no ponto de explosão, ganharão um pequeno reforço para as necessidades de Conforto, Liberdade e Luxo - além de terem a chance de remover qualquer reputação negativa que possam ter no momento.
objective_BehaviouralPrograms_child_2	Programa "Resolução de Conflitos"
objective_BehaviouralPrograms_child_3	Consulta a Ex-Presidiários
objective_SentenceReductions	Reduções e Aumentos de Sentença
objective_SentenceReductions_child_1	Aumento e redução do tempo de sentenças de presidiário através do comportamento
objective_ReleasedPrisoners	Prisioneiros Libertados
objective_ReleasedPrisoners_child_1	Recompensas e Punições por Reintegração e Reincidência
objective_ReleasedPrisoners_child_1_Description	Os prisioneiros libertados começarão uma vida nova ou voltarão a cair em velhos hábitos e voltarão à prisão.\n\nPara cada prisioneiro que se reintegrar com sucesso, será pago um bônus em dinheiro.\n\nPara cada prisioneiro que reincidir e retornar à prisão, será emitida uma multa por sua reabilitação fracassada.
objective_ReleasedPrisoners_child_2	Prisioneiros Regressos
objective_LabourWages	Salários de Trabalho Prisional
objective_LabourWages_child_1	Ajuste dos Salários Trabalhistas e seus Efeitos
objective_PrisonerGrantBonus	Bônus de Subsídio de Detentos
objective_PrisonerGrantBonus_child_1	Benefícios de Baixas Taxas de Reincidência
objective_PrisonerGrantBonus_child_1_Description	As prisões com sucesso em um programa de reabilitação terão suas baixas taxas de infrações reconhecidas por meio de um aumento do valor pago por preso a cada dia. Quanto menor a taxa, maior o bônus diário.\nEsta renda adicional pode ser encontrada no menu "Finanças" com o nome "Bônus de Subsídio de Detentos".
crisisToolbarTitle_DrugBust	Busca de Entorpecentes
buildtoolbar_DrugBust	Busca de Entorpecentes
buildtoolbar_tooltip_DrugBust	Envie uma ordem a todos os Adestradores disponíveis para procurar qualquer contrabando de narcóticos escondidos na prisão.
drug_bust_underway	BUSCA DE ENTORPECENTES EM ANDAMENTO
objective_grant_bakeryProduction	Habilidades de Produção de Padaria
