# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro completo de cambios
d11_adjust_wage_description	Los reclusos reciben un salario por su participación en los diferentes trabajos de la prisión. Los salarios se pueden ajustar individualmente o generalmente para cada tipo de trabajo. Como los trabajos varían en la cantidad de formación exigida, existe la oportunidad de aumentar los salarios por hora que ganan los presos en trabajos de más habilidad.
d11_intake_arrival_caption	Llegada de admisión
d11_intake_arrival_tooltip	La hora estándar en la que una nueva admisión de reclusos llegará a la prisión es a las 8 AM. Esta opción te permite personalizar esta hora para adecuarse a las necesidades de tus reclusos.
d11_intake_restrictions_caption	Revocar las restricciones de admisión
d11_intake_restrictions_tooltip	Los eventos problemáticos, como los motines de reclusos o las huelgas de personal suelen bloquear las admisiones de reclusos hasta el siguiente día disponible. Esta opción permite que lleguen reclusos a tu prisión sean cuales sean las circunstancias, siempre y cuando haya una zona de entrega disponible.
rapsheet_stint	Periodo
reform_reward	Recompensa por reclusos reformados
help_warning_prisonerreleased	Los programas de reforma son clave para una reintegración exitosa de los reclusos en la sociedad. Algunos delincuentes empezarán nuevas vidas con éxito, mientras que otros volverán a lo de siempre y reincidirán. Los reclusos reformados te traerán recompensas económicas adicionales, pero algunos presos reincidentes podrían volver a tu prisión. No solo tendrás una multa por el fracaso de su rehabilitación, sino que puede que hayan adquirido más malos hábitos al estar fuera.
finances_category_reformed	Reclusos reformados
finances_category_reoffended	Multas por reincidencia
finances_category_prisonerbonus	Bonificaciones de subvención de reclusos
d11_labour_management	Gestión del trabajo
d11_LabourManagementDescription	Este menú te proporciona el control sobre los presos que pueden trabajar aquí, los tiempos de trabajo y las opciones de despliegue rápido de guardias.
d11_HighestSecurityLevel	Nivel de alta seguridad
d11_LabourManagement_RegimeActivity_hint	Selecciona las franjas de régimen disponibles en las que los clientes pueden llegar, entre el trabajo, el tiempo libre o ambas.
d11_LabourManagement_HighestSecurityLevel_hint	El máximo nivel de seguridad de reclusos que pueden trabajar aquí, sin poder anular el sector de seguridad de la sala.
d11_LabourManagement_GuardDeployment_hint	Una manera rápida de asignar guardias al área donde los civiles están presentes.
d11_dollar_per_hour	*X $ / hora
d11_incomplete	Incompleto
d11_restaurant_payment_desc	Comercio con civiles
finances_category_civilian_commerce	Comercio con civiles
d11_mealquality	Calidad de la comida
policy_staff_keys	Permite las llaves del personal
d11_report_policy_staffKeys_hint	Si está activado, todos los miembros del personal contratado llevarán llaves. \nAunque esta opción, si está seleccionada, mejorará la eficiencia de la prisión, \ntambién introducirá un riesgo de seguridad adicional al haber más llaves en circulación.
codex_new_uniformColour	Color del uniforme:
codex_new_defaultColour	Color predeterminado:
objectiveWindow_FilterButton_2_title	Sobre las segundas oportunidades
objectiveWindow_FilterButton_2_toolTip	Ayuda e información relacionada con el DLC Segundas oportunidades.
objective_WorkCredentials	Credenciales laborales
objective_WorkCredentials_child_1	Credenciales laborales ya existentes
objective_WorkCredentials_child_1_Description	Antes del entrar en prisión, los presos hasta el nivel máximo de seguridad pueden poseer cierta experiencia debido a lo que se dedicaban antes. Los reclusos con experiencia en un campo específico pueden participar en un trabajo al nivel de su experiencia sin la necesidad del programa de formación.
objective_WorkCredentials_child_2	Efecto de credenciales laborales en presos
objective_WorkCredentials_child_2_Description	Obtener ciertas credenciales laborales requiere una reputación y, si aún no la tiene, puede pasarse por alto en algunos casos. \n\nLos cocineros pueden conseguir la reputación de luchador experto y relacionadas y así saltarse la formación en seguridad de la cocina. \n\nLos limpiadores pueden conseguir la reputación de rápido y limpio. \n\nLos artesanos pueden conseguir la reputación de adictos al trabajo y luchadores expertos y pueden saltarse la formación en talleres. \n\nLos obreros pueden conseguir la reputación de fuerte y duro. \n\nLos trabajadores de servicio al cliente pueden conseguir la reputación de instigador y predicador y pueden saltarse el entrenamiento en trabajos/programas sociales.
objective_WorkExperience	Experiencia de trabajo
objective_WorkExperience_child_2_Description	Hay 3 formas de que los reclusos ganen experiencia laboral: \n\nProgramas de formación: Los reclusos que completen 1 de los 3 programas de formación (seguridad en el taller, seguridad en la cocina o formación de tres faltas) obtendrán el 50 % de la experiencia requerida en su respectivo campo (cocina, artesanía o atención al cliente). \n\nCredenciales laborales ya existentes: Un recluso puede llegar a prisión con experiencia previa en un campo. \n\nTrabajo en prisión: Cualquier recurso que trabaje recibirá experiencia en su campo correspondiente.
objective_NewRooms	Nuevas salas
objective_NewRooms_child_4_Description	Las pastelerías les dan a los presos la oportunidad de conseguir contrabando existente y nuevo. Al tener un número consistente de prisioneros y civiles presentes, hay una probabilidad de que los presos se pongan violentos en ciertas situaciones.
objective_NewRooms_child_8_Description	Los restaurantes les dan a los presos la oportunidad de conseguir contrabando existente y nuevo. Al tener un número consistente de prisioneros y civiles presentes, hay una probabilidad de que los presos se pongan violentos en ciertas situaciones.
objective_ScaredStraight	Programa de tres faltas
objective_ScaredStraight_child_1	Formar a los reclusos para el programa
objective_ScaredStraight_child_2	Cómo funciona el programa
objective_ScaredStraight_child_2_Description	El programa invita a los civiles en su último aviso con la ley a la prisión para aprender directamente de los presos sobre la realidad de la vida en la prisión. Los presos y los civiles formarán dos grupos durante la sesión. Los presos, por turnos, se aproximarán al grupo para transmitir su conocimiento e historias sobre por qué se debería evitar la prisión. \n\nUn guardia vigilará que las sesiones de grupo vayan bien y en orden.
objective_ScaredStraight_child_3	Beneficios de completar el programa
objective_ScaredStraight_child_3_Description	Los presos recibirán un pequeño empujón a su índice de reincidencia y al aumento apropiado de su experiencia de trabajo para completar con éxito el programa. Además, los presos también verán una reducción de su punto de ebullición y también recibirán una bonificación a sus necesidades familiares y/o de libertad.
objective_BehaviouralPrograms	Nuevos programas conductuales
objective_BehaviouralPrograms_child_1	Programa de terapia con animales
objective_BehaviouralPrograms_child_1_Description	La terapia con animales es similar a otros programas existentes, pero tiene estímulos adicionales para los presos que hayan completado el curso. \n\nEste programa está dividido en varias sesiones. Los reclusos que asistan y lo completen verán reducido su índice de reincidencia, una reducción de su punto de ebullición, ganarán un poco de comodidad, libertad, y necesidades de lujo extras, así como la posibilidad de eliminar cualquier reputación negativa que el recluso pueda tener en la actualidad.
objective_BehaviouralPrograms_child_2	Programa de resolución de conflictos
objective_BehaviouralPrograms_child_3	Consulta con exreclusos
objective_SentenceReductions	Reducción y aumento de la condena
objective_SentenceReductions_child_1	Añadir y disminuir el tiempo de la condena de los presos según su comportamiento
objective_ReleasedPrisoners	Presos liberados
objective_ReleasedPrisoners_child_1	Recompensa y castigo por rehabilitación y reincidencia
objective_ReleasedPrisoners_child_1_Description	Los presos puestos en libertad puede que comiencen una nueva vida o bien vuelvan a la cárcel por reincidir.\n\nCada preso rehabilitado con éxito recibirá una bonificación en metálico.\n\nCada preso reincidente que vuelva a prisión pagará una multa por su rehabilitación fallida.
objective_ReleasedPrisoners_child_2	Presos de regreso
objective_LabourWages	Salarios de los trabajos de presos
objective_LabourWages_child_1	Ajustar los salarios de trabajo y los efectos
objective_PrisonerGrantBonus	Bonificaciones de subvención de reclusos
objective_PrisonerGrantBonus_child_1	Beneficios de disminuir el índice de reincidencia
objective_PrisonerGrantBonus_child_1_Description	A los presos que participen con éxito en un programa de rehabilitación se les reconocerá la disminución del índice de reincidencia mediante un aumento de lo que se le paga al preso por día. Cuanto menor sea este índice, mayor será la bonificación diaria.\nEste ingreso adicional se encontrará en el menú de finanzas con el nombre de bonificaciones de subvención de reclusos.
crisisToolbarTitle_DrugBust	Búsqueda de narcóticos
buildtoolbar_DrugBust	Búsqueda de narcóticos
buildtoolbar_tooltip_DrugBust	Envía una orden a todos los adiestradores de perros disponibles para buscar algún contrabando oculto de narcóticos en la prisión.
drug_bust_underway	BÚSQUEDA DE NARCÓTICOS EN CURSO
objective_grant_bakeryProduction	Habilidades de producción de pastelería
objective_grant_bakeryProduction_description	Hacer pasteles y vender productos a clientes que pagan es tanto una habilidad como un logro para los presos que buscan potenciar su carrera profesional antes de su puesta en libertad.\n\nLos presos obtendrán un salario y la prisión recibirá ingresos.
objective_grant_bakeryProduction_bakery	Construye una pastelería
objective_grant_bakeryProduction_bakedGoods	Vende 25 productos de pastelería a los clientes
objective_grant_restaurantService	Plan de servicio del restaurante
objective_grant_restaurantService_description	Permitirles a los presos la oportunidad de ganar un sueldo y proporcionarles a los civiles un servicio es una buena forma de introducirles en la realidad que solían vivir.\n\nLa cárcel también se beneficiará de los ingresos generados a través de los productos vendidos.
objective_grant_restaurantService_restaurant	Construye un restaurante
objective_grant_restaurantService_serveCustomers	Atiende a 30 civiles
objective_grant_reformedPrisoner	Iniciativa de preso rehabilitado
objective_grant_reformedPrisoner_description	El gobierno se está centrando en los beneficios de inversión de los prisioneros y quiere premiar el éxito de las prisiones que han conseguido rehabilitar reclusos. \n\nLos programas de rehabilitación de presos juegan un papel vital en la rehabilitación de los presos tras su puesta en libertad. Proporcionales a los presos la mejor oportunidad de cambiar sus vidas.
objective_grant_reformedPrisoner_reformedPrisoners	Consigue 100 reclusos rehabilitados tras su puesta en libertad
objective_grant_prisonerReoffendRate	Índice de reincidencia de un preso
objective_grant_prisonerReoffendRate_description	Reducir el índice de reincidencia de los presos es beneficioso para todos. La probabilidad de que los reclusos reincidan se reduce cuando reciben una buena atención sanitaria, se les ofrecen oportunidades en relación con las habilidades que tengan, así como programas de reforma y se les mantiene a salvo de cualquier daño con una seguridad adecuada.
objective_grant_prisonerReoffendRate_reduceRate	Reduce el índice de reincidencia medio al 30 %
objective_grant_reformProgramResearch	Investigación del programa de reforma
objective_grant_reformProgramResearch_description	Estudios preliminares han demostrado que los programas capaces de reducir las tendencias violentas y disminuir la conflictividad ofrecen una de las mejores oportunidades para reintegrar a los presos en la sociedad con éxito.\n\nEstablece una serie de programas de reforma para investigar sus posibles efectos.
objective_grant_reformProgramResearch_enrollAnimalTherapy	Inscripción de 10 presos en terapia con animales
objective_grant_reformProgramResearch_passAnimalTherapy	1 preso ha aprobado la terapia con animales
objective_grant_reformProgramResearch_enrollJuvenileCorrection	Inscripción de 10 presos en programa de tres faltas
objective_grant_reformProgramResearch_passJuvenileCorrection	Este preso ha aprobado el programa de tres faltas
objective_grant_reformProgramResearch_enrollPrisonerConsultation	Inscripción de 10 presos en consulta de presos rehabilitados
