# June27th Update
# =============================================================================

# Codex
# =============================================================================

codex_viewchangelog	Pełny Dziennik Zmian
d11_staffalert_hint_NEEDS06	Więzienie jest bardzo brudne, co wywołuje duże niezadowolenie pośród więźniów. Posprzątaj jak najszybciej, zanim wpadną we wściekłość.
d11_staffalert_hint_NEEDS14	Wszyscy więźniowie pragną jednego. Nie być w więzieniu. Nie możemy ich wypuścić, ale możemy uprzyjemnić im pobyt w więzieniu, zapewniając im dużo wolnego czasu.
d11_staffalert_hint_NEEDS13	Wszyscy więźniowie pragną jednego. Nie być w więzieniu. Nie możemy ich wypuścić, ale możemy uprzyjemnić im pobyt w więzieniu, zapewniając im dużo wolnego czasu.
d11_staffalert_hint_NEEDS09	Ćwiczenia zapewniają więźniom dobrą kondycję, zdrowie i zadowolenie. Dopilnuj, aby mieli łatwy dostęp do ławek do podnoszenia ciężarów.
d11_staffalert_hint_NEEDS10	Pomóż przełamać codzienną monotonię, zapewniając więźniom dostęp do przedmiotów rekreacyjnych, takich jak stoły bilardowe, radia i telewizory.
d11_staffalert_hint_NEEDS11	Odpoczynek jest bardzo istotny, ale w więzieniu może być o niego trudno. Dzięki ławkom i kanapom twoi więźniowie będą się mogli lepiej zrelaksować.
d11_staffalert_hint_POWER01	Niektóre obiekty muszą być połączone ze stacją elektryczną, aby mogły pracować. Połącz wszystkie obiekty oznaczone migającymi ikonami błyskawic ze stacją elektryczną za pomocą przewodów elektrycznych.
d11_staffalert_hint_WATER01	Niektóre obiekty muszą być połączone z przepompownią, aby mogły pracować. Połącz wszystkie obiekty oznaczone migającymi ikonami kropli wody z przepompownią za pomocą rur wodociągowych.
d11_staffalert_hint_CELLS01	Przyjęcie dodatkowych więźniów zapewnia nam z góry sporą premię, oznacza też, że codziennie będziemy otrzymywać więcej pieniędzy od państwa. Jeśli to możliwe, powinniśmy mieć maksymalną liczbę więźniów.
d11_staffalert_hint_OBJECTS03	Kamery monitoringu umożliwiają monitorowanie obszarów więzienia, nawet gdy nie ma w nich strażników. Pojedynczy monitor umożliwia jednemu strażnikowi obserwację 8 kamer monitoringu. Nie ma się co zastanawiać!
d11_staffalert_hint_OBJECTS01	Obecnie zupełnie nie jesteśmy gotowi na walkę z pożarem w więzieniu. Powinniśmy jak najszybciej zainstalować system zraszaczy.
d11_staffalert_hint_POWER02	Stacja elektryczna jest mocno przeciążona. Wstaw lub zbuduj dodatkowe kondensatory, aby rozłożyć obciążenie. Ostrożnie: stacje elektryczne nie mogą być ze sobą połączone!
d11_staffalert_hint_DEATHROW01	Rozbudowa więzienia o obszar dla więźniów z wyrokiem śmierci jest ryzykowna, ponieważ egzekucje należy przeprowadzać bardzo ostrożnie, aby spełnić wszystkie wymogi prawne… Możemy jednak nieźle zarobić, więc może warto zaryzykować!
d11_staffalert_hint_STAFF01	Twój personel nie może skutecznie pracować, ponieważ jest przemęczony. Zbuduj pokój socjalny, w którym można się zrelaksować lub zatrudnij więcej pracowników, aby zmniejszyć ich obciążenie.
d11_staffalert_hint_NEEDS12	Czasem więźniowie potrzebują samotności. Niestety „to nie ty, to ja” nie jest dobrze rozumiane w więzieniach. Dopilnuj, aby więźniowie mieli dostęp do własnej celi.
d11_staffalert_hint_NEEDS19	Kto czyta, żyje wielokrotnie, kto zaś z książkami obcować nie chce, na jeden żywot jest skazany. Pozwól swoim więźniom „uciec” w świat dobrej książki, dając im dostęp do biblioteki.
d11_staffalert_hint_NEEDS05	Więźniowie mogą wpaść we wściekłość, gdy nie będą mogli się komunikować ze swoimi rodzinami. Zbuduj pokój odwiedzin, dział pocztowy lub budki telefoniczne, aby odegnać więzienną melancholię.
d11_staffalert_hint_NEEDS07	Gdy poziom zagrożenia w więzieniu będzie zbyt wysoki, wielu więźniów przestanie się czuć bezpiecznie. Obniż poziom zagrożenia, zaspokajając inne potrzeby więźniów.
d11_staffalert_hint_NEEDS15	Niektórzy więźniowie trafiają do więzienia z nałogiem narkotykowym. Nie mogąc pokonać uzależnienia, zaczną odczuwać wściekłość i mogą zacząć zajmować się kontrabandą, aby zdobyć działkę. Pomagaj w walce z nałogiem za pomocą programów resocjalizacyjnych.
d11_staffalert_hint_NEEDS16	Niektórzy więźniowie trafiają do więzienia z uzależnieniem od alkoholu. Nie mogąc pokonać uzależnienia, zaczną odczuwać wściekłość i mogą zacząć zajmować się kontrabandą, aby zdobyć łyka. Pomagaj w walce z nałogiem za pomocą programów resocjalizacyjnych.
d11_staffalert_hint_NEEDS18	Udział w programach wsparcia duchowego wpływa na więźniów uspokajająco, a ich spokój przenosi się na innych więźniów.
d11_staffalert_hint_PRISONERS03	Każdemu więźniowi przysługuje cela o określonym standardzie zależnym od zachowania. Popraw jakość celi za pomocą ekranu logistyki.
d11_staffalert_hint_DOCTOR01	Nie będziemy mogli leczyć nikogo w ambulatorium, dopóki nie zatrudnisz lekarzy. W ambulatorium lekarze mogą się zajmować wszelkimi obrażeniami u personelu i więźniów.
d11_staffalert_hint_OBJECTS02	Kosze na śmieci mogą pomieścić dużo śmieci, zanim trzeba je opróżnić, co zmniejsza liczbę podróży do strefy odpadów. Wstaw kosze na śmieci w kuchni i umieszczaj je w pobliżu wykrywaczy metali, aby podnieść wydajność.
d11_staffalert_tooltip_MONEY01	Przyjmij nową dotację [[*X]]
d11_staffalert_tooltip_PRISONERS02	Zatrudnij strażników [[*X]]
d11_staffalert_tooltip_CONTRABAND03	Wyświetl raport [[*X]]
d11_staffalert_tooltip_CONTRABAND02	Zatrudnij przewodników psów [[*X]]
d11_staffalert_tooltip_CONTRABAND01	Zbuduj wykrywacze metalu [[*X]]
d11_staffalert_tooltip_NEEDS04	Zatrudnij kucharzy [[*X]]
d11_staffalert_tooltip_NEEDS03	Zmodyfikuj harmonogram [[*X]]
d11_staffalert_tooltip_NEEDS01	Wstaw więcej toalet [[*X]]
d11_staffalert_tooltip_NEEDS02	Wstaw więcej toalet [[*X]]
d11_staffalert_tooltip_NEEDS08	Zmodyfikuj harmonogram [[*X]]
d11_staffalert_tooltip_OBJECTS04	Zbuduj system sterowania drzwiami [[*X]]
d11_staffalert_tooltip_ROOMS01	Sprawdź wymagania [[*X]]
d11_staffalert_tooltip_INFORMANTS01	Przenieś do ochrony [[*X]]
d11_staffalert_tooltip_HOLDINGCELL01	Zbuduj więcej cel [[*X]]
d11_staffalert_tooltip_NEEDS06	Zatrudnij woźnych [[*X]]
d11_staffalert_tooltip_NEEDS14	Zbuduj pralnię [[*X]]
d11_staffalert_tooltip_NEEDS13	Zmodyfikuj harmonogram [[*X]]
d11_staffalert_tooltip_NEEDS09	Zbuduj ławkę do podnoszenia ciężarów [[*X]]
d11_staffalert_tooltip_NEEDS10	Zbuduj radio [[*X]]
d11_staffalert_tooltip_NEEDS11	Zbuduj ławkę [[*X]]
d11_staffalert_tooltip_POWER01	Zbuduj przewody elektryczne [[*X]]
d11_staffalert_tooltip_WATER01	Zbuduj rury wodociągowe [[*X]]
d11_staffalert_tooltip_CELLS01	Zwiększ liczbę nowych więźniów [[*X]]
d11_staffalert_tooltip_OBJECTS03	Zbuduj kamery monitoringu [[*X]]
d11_staffalert_tooltip_OBJECTS01	Zbuduj zraszacze [[*X]]
d11_staffalert_tooltip_POWER02	Zwiększ poziom zasilania [[*X]]
d11_staffalert_tooltip_DEATHROW01a	Zbuduj obszar dla więźniów z wyrokiem śmierci [[*X]]
d11_staffalert_tooltip_DEATHROW01b	Opracuj obszar dla więźniów z wyrokiem śmierci [[*X]]
d11_staffalert_tooltip_STAFF01	Zbuduj pokój socjalny [[*X]]
d11_staffalert_tooltip_NEEDS12	Stwórz więcej cel [[*X]]
d11_staffalert_tooltip_NEEDS19	Zbuduj bibliotekę [[*X]]
d11_staffalert_tooltip_NEEDS05	Zbuduj budki telefoniczne [[*X]]
d11_staffalert_tooltip_NEEDS07	Wyświetl potrzeby więźniów [[*X]]
d11_staffalert_tooltip_NEEDS15	Rozpocznij terapię farmakologiczną [[*X]]
d11_staffalert_tooltip_NEEDS16	Rozpocznij terapię grupową dla alkoholików [[*X]]
d11_staffalert_tooltip_NEEDS18	Rozpocznij program wsparcia duchowego [[*X]]
d11_staffalert_tooltip_PRISONERS03	Ulepsz cele [[*X]]
d11_staffalert_tooltip_DOCTOR01	Zatrudnij lekarzy [[*X]]
d11_staffalert_tooltip_OBJECTS02	Zbuduj kosze na śmieci [[*X]]
d11_staffalert_summary_MONEY01	Kończą się nam środki pieniężne.
d11_staffalert_summary_PRISONERS02	Powinniśmy zatrudnić więcej strażników.
d11_staffalert_summary_CONTRABAND03	W więzieniu jest duża ilość kontrabandy.
d11_staffalert_summary_CONTRABAND02	Zbyt wielu więźniów ma dostęp do narkotyków.
d11_staffalert_summary_CONTRABAND01	Zbyt wielu więźniów ma dostęp do narzędzi i broni.
d11_staffalert_summary_NEEDS04	Twoi więźniowie robią się głodni.
d11_staffalert_summary_NEEDS03	Więźniowie ciągle wyglądają na bardzo zmęczonych.
d11_staffalert_summary_NEEDS01	Powinniśmy zbudować więcej toalet.
d11_staffalert_summary_NEEDS02	Powinniśmy zbudować więcej toalet.
d11_staffalert_summary_NEEDS08	Oj, więźniowie wyglądają nieco niechlujnie.
d11_staffalert_summary_OBJECTS04	Powinniśmy poprawić wydajność, instalując system sterowania drzwiami.
d11_staffalert_summary_ROOMS01	Część pomieszczeń jest nieprawidłowa.
d11_staffalert_summary_INFORMANTS01	Więźniowie są bardzo podejrzliwi wobec jednego z informatorów.
d11_staffalert_summary_HOLDINGCELL01	W pomieszczeniach tymczasowych jest zbyt wielu więźniów.
d11_staffalert_summary_NEEDS06	Więzienie powinno zostać wyczyszczone.
d11_staffalert_summary_NEEDS14	Hmm, ubrania więźniów wyglądają na nieco… znoszone.
d11_staffalert_summary_NEEDS13	Więźniowie chcą więcej wolnego czasu.
d11_staffalert_summary_NEEDS09	Więźniowie nie są w zbyt dobrej kondycji.
d11_staffalert_summary_NEEDS10	Więźniowie są nieco znudzeni.
d11_staffalert_summary_NEEDS11	Więźniowie narzekają na brak miejsc do siedzenia w trakcie wolnego czasu.
d11_staffalert_summary_POWER01	Niektóre obszary więzienia nie mają prądu.
d11_staffalert_summary_WATER01	Niektóre obszary więzienia nie mają wody.
d11_staffalert_summary_CELLS01	Możemy przyjąć więcej więźniów.
d11_staffalert_summary_OBJECTS03	Musimy zainstalować kamery monitoringu.
d11_staffalert_summary_OBJECTS01	W razie pożaru jesteśmy zagrożeni.
d11_staffalert_summary_POWER02	Stacja elektryczna jest przeciążona.
d11_staffalert_summary_DEATHROW01	Możemy dodatkowo zarobić, jeśli rozbudujemy więzienie o obszar dla więźniów z wyrokiem śmierci.
d11_staffalert_summary_STAFF01	Twój personel staje się wyczerpany.
d11_staffalert_summary_NEEDS12	Więźniowie potrzebują prywatności.
d11_staffalert_summary_NEEDS19	Zbyt wielu więźniów nie potrafi czytać i pisać.
d11_staffalert_summary_NEEDS05	Więźniowie tęsknią za rodzinami.
d11_staffalert_summary_NEEDS07	Więźniowie nie czują się bezpiecznie.
d11_staffalert_summary_NEEDS15	O rany, wygląda na to, że wielu więźniów jest uzależnionych od narkotyków.
d11_staffalert_summary_NEEDS16	Wygląda na to, że wielu więźniów ma skłonność do alkoholu.
d11_staffalert_summary_NEEDS18	Wielu więźniów szuka wsparcia duchowego.
d11_staffalert_summary_PRISONERS03	Ogólna jakość cel jest zbyt niska.
d11_staffalert_summary_DOCTOR01	Powinniśmy zatrudnić lekarzy do pracy w ambulatorium.
d11_staffalert_summary_OBJECTS02	Musimy kupić kosze na śmieci.
d11_staffalert_urgentsummary_MONEY01	Zaczyna nam brakować środków pieniężnych!
d11_staffalert_urgentsummary_PRISONERS02	Mamy zbyt mało strażników, musisz zatrudnić nowych!
d11_staffalert_urgentsummary_CONTRABAND03	Ilość kontrabandy w więzieniu wymknęła się spod kontroli!
d11_staffalert_urgentsummary_CONTRABAND02	Dostępność narkotyków w więzieniu jest niebezpiecznie duża!
d11_staffalert_urgentsummary_CONTRABAND01	Dostępność narzędzi i broni w więzieniu jest niebezpiecznie duża!
d11_staffalert_urgentsummary_NEEDS04	Odłóż to ciastko! Więźniowie głodują!
d11_staffalert_urgentsummary_NEEDS03	Hej! Pobudka! Więźniowie potrzebują snu!
d11_staffalert_urgentsummary_NEEDS01	Serio! Nie żartuję. Zbuduj więcej toalet!
d11_staffalert_urgentsummary_NEEDS02	Serio! Nie żartuję. Zbuduj więcej toalet!
d11_staffalert_urgentsummary_NEEDS08	Fuuuj, więźniowie są brudni.
d11_staffalert_urgentsummary_OBJECTS04	Pora podnieść wydajność i zainstalować system sterowania drzwiami!
d11_staffalert_urgentsummary_ROOMS01	Część pomieszczeń wciąż jest nieprawidłowa!
d11_staffalert_urgentsummary_INFORMANTS01	Jeden z informatorów niedługo zostanie odkryty, jego życie jest zagrożone!
d11_staffalert_urgentsummary_HOLDINGCELL01	Musimy zmniejszyć liczbę więźniów w pomieszczeniach tymczasowych!
d11_staffalert_urgentsummary_NEEDS06	Rany! Nasze więzienie jest ohydne.
d11_staffalert_urgentsummary_NEEDS14	Wielkie nieba! Więzienie jest pełne obdartusów!
d11_staffalert_urgentsummary_NEEDS13	To nie są roboty – żeby funkcjonować, potrzebują w wolnego czasu!
d11_staffalert_urgentsummary_NEEDS09	O nie, więźniowie są bardzo niezdrowi.
d11_staffalert_urgentsummary_NEEDS10	Więźniowie są nieludzko wynudzeni!
d11_staffalert_urgentsummary_NEEDS11	Daj spokój, oni tylko chcą na czymś usiąść.
d11_staffalert_urgentsummary_POWER01	Niektóre części więzienia wciąż nie mają prądu!
d11_staffalert_urgentsummary_WATER01	Niektóre części więzienia wciąż nie mają wody!
d11_staffalert_urgentsummary_CELLS01	Mamy mnóstwo wolnego miejsca, aby przyjąć kolejnych więźniów!
d11_staffalert_urgentsummary_OBJECTS03	Naprawdę musimy zainstalować więcej kamer monitoringu!
d11_staffalert_urgentsummary_OBJECTS01	W razie pożaru jesteśmy bardzo zagrożeni!
d11_staffalert_urgentsummary_POWER02	Stacja elektryczna jest mocno przeciążona!
d11_staffalert_urgentsummary_DEATHROW01	Możemy szybko i nieźle zarobić, jeśli rozbudujemy więzienie o obszar dla więźniów z wyrokiem śmierci.
d11_staffalert_urgentsummary_STAFF01	Twój personel jest przemęczony, musisz mu pomóc!
d11_staffalert_urgentsummary_NEEDS12	Więźniowie stają się wściekli Nie spodoba ci się ich wściekłość…
d11_staffalert_urgentsummary_NEEDS19	Powinniśmy przygotować pomieszczenie dla więźniów, którzy słabo czytają.
d11_staffalert_urgentsummary_NEEDS05	Miej serce… musimy zezwolić więźniom na kontakt z rodzinami!
d11_staffalert_urgentsummary_NEEDS07	Więźniowie nie czują się tu bezpiecznie. Proszę, zrób coś.
d11_staffalert_urgentsummary_NEEDS15	Zbyt wielu więźniów jest uzależnionych od narkotyków. Musimy coś zrobić!
d11_staffalert_urgentsummary_NEEDS16	Więźniowie mają poważny problem z alkoholizmem!
d11_staffalert_urgentsummary_NEEDS18	Więźniowie domagają się wsparcia duchowego.
d11_staffalert_urgentsummary_PRISONERS03	Ogólna jakość cel musi zostać podniesiona tak szybko, jak to możliwe!
d11_staffalert_urgentsummary_DOCTOR01	Musimy zatrudnić lekarzy do pracy w ambulatorium!
d11_staffalert_urgentsummary_OBJECTS02	Naprawdę musimy kupić kosze na śmieci!
d11_ingredients_crops_per_day_tooltip	Liczba roślin zakupionych w ciągu ostatnich 24 godzin.
object_OxStatue	Statua Byka
object_PaperDragonHead	Smok (głowa)
object_PaperDragonBody	Smok (ciało)
object_PaperDragonTail	Smok (ogon)
object_PaperLantern	Papierowa Latarnia
object_CoupletBanner	Sztandar z Kupletami
buildtoolbar_popup_obj_OxStatue	Statua znaku zodiaku reprezentująca potężnego Byka
buildtoolbar_popup_obj_PaperDragonHead	Wycinek z papieru w kształcie glowy smoka
buildtoolbar_popup_obj_PaperDragonBody	Wycinek z papieru w kształcie ciała smoka
buildtoolbar_popup_obj_PaperDragonTail	Wycinek z papieru w kształcie ogona smoka
buildtoolbar_popup_obj_PaperLantern	Czerwona, dekoracyjna lampa z papieru iluminująca twoje więzienie
buildtoolbar_popup_obj_CoupletBanner	Dekoracyjny sztandar z zapisanymi chińskimi kupletami
buildtoolbar_popup_mat_grasscornerfloor	Trawiasty narożnik z ziemią. Użyteczny przy krętych ścieżkach.
buildtoolbar_popup_mat_grasscornerfloor1	Trawiasty narożnik z ziemią. Użyteczny przy krętych ścieżkach.
buildtoolbar_popup_mat_grasscornerfloor2	Trawiasty narożnik z ziemią. Użyteczny przy krętych ścieżkach.
buildtoolbar_popup_mat_grasscornerfloor3	Trawiasty narożnik z ziemią. Użyteczny przy krętych ścieżkach.
buildtoolbar_Logistics_CropDistribution	Ustal, do którego pomieszczenia są przenoszone plony. W oknie zarządzania dystrybucją można też zmienić wartości procentowe dystrybucji.
d11_hover_alert_water	Wymaga wody
d11_hover_alert_electricity	Wymaga prądu
interfacemode_objectPack_filter_caption	Filtruje liczbę wyświetlanych obiektów według rozszerzenia, z którego pochodzą.
interfacemode_objectType_filter_caption	Filtruje liczbę wyświetlanych obiektów według rodzaju obiektów.
d11_powerstation_overloaded_two_stations	Przeciążenie, stacje elektryczne nie mogą być ze sobą połączone
buildtoolbar_deployment_PrioritizeFarmer	Za pomocą tej opcji wyznacz rolników, którzy będą wykonywać swoje zadania w określonych obszarach przed innymi pracownikami więzienia. Jeśli masz zbyt małą liczbę personelu, rolnicy będą się starali najpierw obsłużyć priorytetowe obszary. Przydziel 1, 2 lub 3 rolników, aby spriorytetyzować obszar.
