# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog									Full Changelog
objective_ScaredStraight_child_1_Description		The program invites civilians on their final warning with the law, into the prison to learn directly from inmates about the realities of prison life. Inmates must pass the training program before they are allowed to share their knowledge with civilian groups. As Three Strikes is a social program, any inmates who already possess the required experience in ‘Customer Service’ will be able to take part in the program without the need for training. A Guard will oversee the smooth and orderly running of the group sessions.

objective_ScaredStraight_child_3					Benefits of Completing the Program
objective_ScaredStraight_child_3_Description		Inmates will receive a small boost to their Reoffending Rate and the appropriate increase to their Work Experience for successful completion of the program. In addition, inmates will also see a reduction to their boiling point, and also receive a bonus to their Family and/or Freedom needs.

# Behavioural Programs

objective_BehaviouralPrograms						New Behavioural Programs

objective_BehaviouralPrograms_child_1				Animal Therapy Program
objective_BehaviouralPrograms_child_1_Description	Animal Therapy is similar to other existing programs but brings additional boosts to inmates who successfully complete the course. \n\nThe program is split over multiple sessions. Prisoners attending and completing will see a reduction of their reoffending rate, a reduction to their boiling point, gain a small boost to Comfort, Freedom and Luxury needs - as well as having a chance of removing any negative Reputation the inmate may currently have.

objective_BehaviouralPrograms_child_2				Conflict Resolution Program
objective_BehaviouralPrograms_child_2_Description	The aim of Conflict Resolution is to educate the prisoners on how best to deal with difficult, real world situations without resorting to violence. This program is tutored by former prisoners, allowing for a more open and constructive session. The program is split over multiple sessions. On successful completion, the prisoners will: see a reduction  in their boiling point as well as the chance of removing any violence based Reputation.

objective_BehaviouralPrograms_child_3				Former Prisoner Consultation
objective_BehaviouralPrograms_child_3_Description	Former prisoners who have successfully reformed upon leaving prison are invited back to guest speak to the currently incarcerated. Prisoners have a greater appreciation when words are delivered from 'one of their own' and are more willing to be open and share their thoughts with a teacher who has been in the same position. \n\nThe program is split over multiple sessions. On successful completion, the prisoners will: see a reduction in their reoffending rate, improve or reduce specific Needs such as Family, Freedom and Safety as well as the chance of removing any negative behavioural Reputation.

# Sentence Reductions

objective_SentenceReductions						Sentence Reductions & Extensions

objective_SentenceReductions_child_1				Adding & Reducing Time to Prisoner Sentences via their Behaviour
objective_SentenceReductions_child_1_Description	A prisoner's behaviour can directly influence the duration of their remaining sentence. \n\n Behaviour Criteria, Criteria value and Sentence Reduction parameters can all be modified in the Sentence Adjustments menu. By adhering to the criteria set for Good Behaviour, the prisoner will be rewarded with a reduction to their sentence. \n\nPrisoners who do not adhere to the set criteria and cause Misconduct may face an increase to their current sentence. Whilst minor infractions will escape punishment, serious crimes will cause an extension to the duration of a prisoner's sentence.

# Released Prisoners

objective_ReleasedPrisoners				Released Prisoners

objective_ReleasedPrisoners_child_1				Reward & Punishments for Reforming & Re-offence 
objective_ReleasedPrisoners_child_1_Description			Released prisoners will either start a new life or fall back into old habits and return to prison. \n\nFor every prisoner that successfully reforms, a cash bonus will be paid. \n\nFor every prisoner that reoffends and returns to the prison, a fine will be issued for their failed rehabilitation.

objective_ReleasedPrisoners_child_2			Returning Prisoners
objective_ReleasedPrisoners_child_2_Description			Freed prisoners who reoffend and are returned to the prison may pick up additional bad habits whilst on the outside. \n\nPrisoners could return with either an additional reputation or an upgrade to an existing reputation - such as being ‘Strong’ on release and ‘Extremely Strong’ upon their return. These prisoners can be spotted by an icon above their head, and can also be found via a notification within the Released Prisoners menu.

# Prison Labour Wages

objective_LabourWages 			Prison Labour Wages

objective_LabourWages_child_1				Adjusting Labour Wages and the Effects  
objective_LabourWages_child_1_Description				Each labour job worked pays the prisoner an hourly wage.Wages can be tailored to each labour type via the finance menu. Higher wages motivate inmates to take part in prison labour and work related programs.\n Increasing the wage for kitchen will increase interest in the hygiene program, wage increase for Bakeries and Restaurants increase interest in the Hygiene program and three strikes training, whereas increasing the wages for the Workshop and Library jobs will increase interest for the Safety and education programs respectively.    
