# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Kompletter Changelog
d11_restaurant_work_desc	Teilen Sie Häftlinge zur Arbeit in einem unserer Restaurants ein, um Mahlzeiten für zivile Kunden zu kochen. Die Häftlinge müssen Erfahrungen beim Kochen oder im Kundenservice vorweisen.
d11_bakery_work	Bäckerei
d11_bakery_work_desc	Teilen Sie Häftlinge zur Arbeit in einer unserer Bäckereien ein, um Backwaren für zivile Kunden herzustellen. Die Häftlinge müssen Erfahrungen beim Kochen oder im Kundenservice vorweisen.
buildtoolbar_popup_room_TherapyRoom	Ein „sicherer Ort“ für Tiertherapie-Sitzungen und Gespräche mit ehemaligen Häftlingen.
buildtoolbar_popup_room_Restaurant	Häftlinge mit Erfahrung in Küche oder Kundenservice können hier Mahlzeiten vorbereiten und zivilen Kunden servieren.
buildtoolbar_popup_room_Bakery	Häftlinge mit Erfahrung in Küche oder Kundenservice können hier Brot und Kuchen backen, die an zivile Kunden verkauft werden.
quickbuild_Therapy	Besprechungsraum
quickbuild_Restaurant	Restaurant
quickbuild_Bakery	Bäckerei
quickbuild_Reception	Rezeption
reformprogram_AnimalTherapy	Tiertherapie
reformprogram_AnimalTherapy_text	Häftlinge haben oft Schwierigkeiten, ihr Temperament zu zügeln oder negative Gedanken zu kontrollieren. Dank der Therapiesitzungen und den dabei entstehenden Bindungen lernen die Insassen hoffentlich, ruhig zu bleiben und kritische Situationen zu deeskalieren, bevor es zu Gewalt kommt.
reformProgram_ConflictResolution	Konfliktbewältigung
reformProgram_ReformedPrisonerConsultation	Beratung durch gebesserter Häftlinge
reformProgram_ReformedPrisonerConsultation_text	Das Ziel dieses Programms besteht darin, die Denkmuster der derzeit Eingesperrten zu ändern, indem ein gebesserter Ex-Häftling über seine Erfahrungen und sein neues Leben spricht.
reformProgram_juvenilecorrection	Drei-Verstöße-Programm
reformProgram_juvenilecorrection_text	Der Kontakt zwischen Häftlingen und zivilen „Delinquenten“ kann positive Folgen für beide Seiten haben, solange die beteiligten Häftlinge entsprechend trainiert wurden oder genug Erfahrung im Kundenservice haben, um mit diesen „Delinquenten“ umzugehen.
reformProgram_socialtraining	Drei-Verstöße-Training
reformProgram_socialtraining_text	Den Häftlingen zu erlauben, mit unbekannten Zivilisten zu interagieren, kann für viele ein Grund zur Sorge sein. Daher lehrt dieses Programm, welche Handlungen in Ordnung sind und welche nicht, während es gleichzeitig die Erfahrung der Insassen im Kundenservice verbessert.
reformProgram_RehabilitatedPrisoner_text	Dieser ehemalige Häftling hat sich zu einem ehrbaren Bürger entwickelt und nimmt sich neben seiner regulären Arbeit Zeit, als Berater im Gefängnis den Häftlingen bei der Besserung zu helfen.
reformProgram_Occupation	Arbeitsplatz:
report_Sentences	Anpassungen der Haftstrafe
sentences_tooltip_onOff	Aktivieren oder deaktivieren Sie Anpassungen der Haftstrafen mit AUS/AN.
sentences_tooltip_resetCriteria	Setzen Sie die Anpassungskriterien uaf die Standardeinstellungen des Gefängnisses zurück.
sentences_tooltip_extensionValue	Legen Sie den Zeitraum fest, um den die Haftstrafe eines Häftlings verlängert wird, wenn die Kriterien erfüllt werden.
sentences_tooltip_reductionValue	Legen Sie den Zeitraum fest, um den die Haftstrafe eines Häftlings verkürzt wird, wenn die Kriterien erfüllt werden.
sentences_description	Setzen Sie die Kriterien für die Anpassung von Haftstrafen fest, sei es die Verkürzung für gutes Verhalten oder die Verlängerung für schlechtes Verhalten.\nVerkürzungen und Verlängerungen von Haftstrafen können in derselben Woche exekutiert werden, haben allerdings eine Abklingzeit von 7 Tagen.
sentences_unavailable	k.A.
reduction_caption	Verringerungswert
extension_caption	Verlängerungswert
adjustment_criteria	Anpassungskriterien
goodBehaviour_DaysInLabour	Tage in Arbeit
goodBehaviour_LoweredRate	Verringerte Rückfallquote
sentences_resetCriteria	Kriterien zurücksetzen
misconduct_tooltip_InjuredStaff	Häftlingen, die eine bestimmte Anzahl von Angriffen auf das Personal unternommen haben, droht eine Verlängerung ihrer Haftzeit.
misconduct_tooltip_InjuredPrisoner	Häftlingen, die eine bestimmte Anzahl von Angriffen auf ihre Mitgefangenen unternommen haben, droht eine Verlängerung ihrer Haftzeit.
misconduct_tooltip_SeriousInjury	Häftlingen, die eine bestimmte Anzahl von Körperverletzungen im Gefängnis begangen haben, droht eine Verlängerung ihrer Haftzeit.
misconduct_tooltip_Murder	Häftlingen, die eine bestimmte Anzahl von Morden im Gefängnis begangen haben, droht eine Verlängerung ihrer Haftzeit.
misconduct_tooltip_EscapeAttempt	Häftlingen, die eine bestimmte Anzahl von Fluchtversuchen unternommen haben, droht eine Verlängerung ihrer Haftzeit.
goodBehaviour_tooltip_NoIncident	Häftlinge haben Anspruch auf Strafminderung, wenn in dem angegebenen Zeitraum keine Zwischenfälle gemeldet wurden.
goodBehaviour_tooltip_ProgramsPassed	Häftlinge haben Anspruch auf Strafminderung, wenn sie eine bestimmte Anzahl von Programmen absolviert haben.
goodBehaviour_tooltip_DaysInLabour	Häftlinge haben Anspruch auf Strafminderung, wenn sie in dem angegebenen Zeitraum ununterbrochen an der Gefängnisarbeit teilgenommen haben.
goodBehaviour_tooltip_LoweredRate	Häftlinge qualifizieren sich für Strafminderung, wenn ihre Rückfallquote um den festgelegten Wert gesenkt wurde.
sentences_tooltip_criteriaMet	Passen Sie diesen Wert an, um festzulegen, welche Kriterien Häftlinge erfüllen müssen, damit ihre Haftstrafe angepasst werden kann.
work_and_education	Arbeit und Ausbildung
d11_work_experience	Arbeitserfahrung
experience_WorkCook	Kocherfahrung
experience_WorkCleaner	Putzerfahrung
experience_WorkCraftsman	Handwerker-Erfahrung
experience_WorkLabourer	Arbeitserfahrung
experience_WorkRCS	Kundenservice-Erfahrung
experience_WorkReform	Der Abschluss dieses Programms erhöht die Arbeitserfahrung des Häftlings um 50 % im Bereich *X.
experience_WorkCook_desc	Häftlinge, die 50 % Erfahrung in diesem Bereich haben, können direkt mit der Arbeit in Küchen, Restaurants oder Bäckereien beginnen. Je höher die Erfahrung, desto höher ihre Effizienz in den dazugehörigen Jobs.
experience_WorkCleaner_desc	Häftlinge, die in diesem Bereich Erfahrungen sammeln, erhöhen ihre Effizienz bei Reinigungsarbeiten.
experience_WorkCraftsman_desc	Häftlinge, die 50 % Erfahrung in diesem Bereich haben, können direkt mit der Arbeit in der Werkstatt beginnen. Je höher die Erfahrung, desto höher ihre Effizienz.
experience_WorkLabourer_desc	Häftlinge, die in diesem Bereich Erfahrungen sammeln, erhöhen ihre Effizienz bei körperlicher Arbeit.
experience_WorkRCS_desc	Häftlinge, die 50 % Erfahrung in diesem Bereich haben, können direkt am Drei-Treffer-Programm teilnehmen und Servicearbeiten durchführen. Je höher die Erfahrung, desto höher ihre Effizienz in Kundenservice-Jobs.
d11_cleaner	Reinigungskraft
d11_craftsman	Handwerker
d11_labourer	Arbeiter
d11_RACS	Kundenservice
experiencefactor_FactorWorkExperience	Verfügt über *X % Arbeitserfahrung in allen Bereichen
d11_reform_average_reoffending_rate_x_days	Grad der durchschnittlichen Rückfallquote in % (-*X Tage)
d11_reform_average_punishment_grade	Grad der durchschnittlichen Bestrafung
d11_reform_average_health_grade	Grad der durchschnittlichen Gesundheit
d11_reform_average_security_grade	Grad der durchschnittlichen Sicherheitsstufe
d11_reform_average_exp_grade	Grad der durchschnittlichen Arbeitserfahrung
d11_reform_average_reform_grade	Grad der durchschnittlichen Besserung
d11_reform_progrom_live	Live-Besserungsprogramme
d11_reform_program_places	Orte des Besserungsprogramms
d11_reform_program_attendance	Besuch des Besserungsprogramms
d11_reform_program_pass_rate	Abchlussrate des Besserungsprogramms
d11_reform_released_prisoners_design_info	Sobald ein Häftling aus Ihrem Gefängnis entlassen wird, werden Sie über sein Verhalten in Freiheit unterrichtet, also ob er rückfällig geworden ist oder sich gebessert und eine Arbeit gefunden hat. Ihr Gefängnis wird dementsprechend belohnt oder mit Bußgeldern belegt.
d11_reform_prisoners_action_reformed	GEBESSERT!
d11_reform_prisoners_action_reoffended	RÜCKFÄLLIG!
d11_reform_prisoners_action_reoffended_returned	*X wurde zurück in Ihr Gefängnis geschickt.
d11_reform_prisoners_outcome_reformed	Sie haben Arbeit in der Stadt gefunden in: *X.
d11_reform_prisoners_outcome_reoffended	Sie wurden verhaftet und werden in das Gefängnis zurückgebracht.
d11_reform_prisoners_outcome_reoffended_returned	Seien Sie vorsichtig, da die Häftlinge mit zunehmendem Pensum gefährlicher werden.
d11_reform_reformed_prisoner_rewards	Belohnungen für gebesserte Häftlinge (gestern)
d11_reform_reformed_reoffending_prisoner_fines	Gefängnis-Bußgelder für Rückfälle (gestern)
d11_reform_reoffending_stats_title	Rückfallstatistik in %
d11_reform_initial_reoffending_chance	Anfängliche Rückfallquote in %:
d11_reform_current_reoffending_chance	Aktuelle Rückfallquote in %:
d11_reform_reoffending_chance_delta	Änderung der Rückfallqoute in %:
d11_reform_job_outcome_cook	Restaurant
d11_reform_job_outcome_cleaner	Reinigungsagentur
d11_reform_job_outcome_craftsman	Fabrik
d11_reform_job_outcome_labourer	Baufirma
d11_reform_job_outcome_RAC	Einkaufsmeile
d11_reform_job_outcome_default	Postamt
d11_reform_required_reoffending_rate_title	Auf Bewährung entlassen in %:
d11_reform_no_prisoners_found	Keine Häftlinge gefunden!
d11_all_prisoner_wages	Alle Häftlingsgehälter
d11_report_policy_wage_hint	Höhere Löhne motivieren die Häftlinge zur Teilnahme an Gefängnisarbeit und arbeitsbezogenen Programmen.
d11_wage	Lohn
d11_adjust_wage_description	Häftlinge erhalten für Ihre Arbeit im Gefängniskomplex einen Lohn. Dieser kann individuell oder pauschal für jede Art von Arbeit festgelegt werden. Weil die Jobs unterschiedliche Qualifikationen voraussetzen, können die Stundensätze für anspruchsvollere Arbeiten angehoben werden.
d11_intake_arrival_caption	Einlieferungszeiten
d11_intake_arrival_tooltip	Die übliche Zeit für die Einlieferung neuer Häftlinge im Gefängnis ist 8:00 Uhr. Mit dieser Option können Sie diese Zeit individuell anpassen.
d11_intake_restrictions_caption	Einlieferungsbeschränkungen entfernen
d11_intake_restrictions_tooltip	Problematische Ereignisse, wie Aufstände und Streiks, blockieren normalerweise die Häftlingseinlieferung bis zum darauffolgenden Tag. Mit dieser Option können Sie Ihre Häftlinge unter allen Umstände einliefern lassen, solange eine Einlieferungszone verfügbar ist.
rapsheet_stint	Pensum
reform_reward	Belohnung für gebesserten Häftling
help_warning_prisonerreleased	Reformprogramme sind der Schlüssel zur erfolgreichen Wiedereingliederung von Gefangenen in die Gesellschaft. Einige Straftäter werden ein erfolgreiches neues Leben beginnen, während andere in ihr altes Leben zurückfallen und erneut straffällig werden. Gebesserte Häftlinge bringen eine zusätzliche Geldbelohnung ein, während Gefangene, die rückfällig werden, in Ihr Gefängnis zurückkehren können. Sie werden nicht nur eine Geldstrafe für ihre fehlgeschlagene Rehabilitation zahlen müssen, die Häftlinge können auch zusätzliche schlechte Gewohnheiten angenommen haben, während sie draußen waren.
finances_category_reformed	Gebesserte Häftlinge
finances_category_reoffended	Bußgelder für Rückfälle
finances_category_prisonerbonus	Häftlingszuschuss-Bonus
d11_labour_management	Arbeitsverwaltung
d11_LabourManagementDescription	Dieses Menü ermöglicht Ihnen die Kontrolle über die hier arbeitenden Häftlinge und deren Arbeitszeiten, zusammen mit Optionen zum Schnelleinsatz von Wachen.
d11_HighestSecurityLevel	Höchste Sicherheitsstufe
d11_LabourManagement_RegimeActivity_hint	Bestimmen Sie die Besuchszeiten für Kunden und setzten sie während der Arbeit, der Freizeit oder zu beiden Zeiten an.
d11_LabourManagement_HighestSecurityLevel_hint	Höchste Sicherheitsstufe der Häftlinge, die hier arbeiten dürfen; der Sicherheitsbereich des Raums kann nicht überbrückt werden.
d11_LabourManagement_GuardDeployment_hint	Eine schnelle Möglichkeit, Wachen einem Bereich zuzuteilen, während Zivilisten zugegen sind.
d11_dollar_per_hour	$*X/ Stunde
d11_incomplete	Unvollständig
d11_restaurant_payment_desc	Ziviles Gewerbe
finances_category_civilian_commerce	Ziviles Gewerbe
d11_mealquality	Qualität der Mahlzeiten
policy_staff_keys	Personalschlüssel erlauben
d11_report_policy_staffKeys_hint	Bei aktivierter Option wird angestelltes Personal Schlüssel tragen. \nWährend diese Option die Effizienz innerhalb des Gefängnisses verbessert, \nbringt sie auch ein zusätzliches Sicherheitsrisiko ein, weil dann mehr Schlüssel im Umlauf sind.
codex_new_uniformColour	Uniformfarbe:
codex_new_defaultColour	Standardfarbe:
objectiveWindow_FilterButton_2_title	Über Zweite Chancen
objectiveWindow_FilterButton_2_toolTip	Hilfe und Information zur neuen DLC Zweite Chancen.
objective_WorkCredentials	Arbeitszeugnisse
objective_WorkCredentials_child_1	Bereits vorhandene Arbeitszeugnisse bei Häftlingen
objective_WorkCredentials_child_1_Description	Vor dem Antritt ihrer Haftstrafe können Häftling bis zur hohen Sicherheitsstufe über bestimmte Erfahrung aus ihren ehemaligen Berufen verfügen. Insassen, die über passende Qualifikationen verfügen, können die entsprechenden Jobs im Gefängnis antreten, ohne an den dazugehörigen Ausbildungsprogrammen teilnehmen zu müssen.
objective_WorkCredentials_child_2	Auswirkungen von Arbeitszeugnissen auf Häftlinge
objective_WorkCredentials_child_2_Description	Wer sich Arbeitszeugnisse verdient, erhält bestimmte Rufe und kann, sofern noch nicht geschehen, bestimmte Ausbildungs- und Trainigsprogramme auslassen. \n\nKöche können sich den Ruf Geübter Kämpfer und Vernetzt verdienen und so das Sicherheitstraining Küche umgehen. \n\nReinigungskräfte können sich den Ruf Sauber und Schnell verdienen. \n\nHanderker können sich den Ruf Workaholic und Geübter Kämpfer verdienen und das Werkstatt-Training umgehen. \n\nArbeiter können sich den Ruf Stark und Hart verdienen. \n\nArbeiter im Kundenservice können sich den Ruf Aufrührer und Prediger verdienen und die Ausbildungseinheit Soziale Jobs/Programme umgehen.
objective_WorkExperience	Arbeitserfahrung
objective_WorkExperience_child_2_Description	Es gibt 3 Möglichkeiten für Häftlinge, Arbeitserfahrung zu sammeln: \n\nAusbildungsprogramme – Häftlinge, die 1 von 3 Trainigsprogrammen abschließen (Werkstattsicherheit, Küchensicherkeit oder das Drei-Verstöße-Programm), erhalten 50 % der in ihrem Bereich erforderlichen Erfahrung (Koch, Handwerker oder Servicekraft). \n\nBereits vorhandene Arbeitszeugnisse – Ein Häftling kann bereits bei Haftantritt über die nötige Erfahrung auf seinem Feld verfügen. \n\nGefängnisarbeit – Jeder Häftling, der im Gefängnis arbeitet, sammelt Erfahrung in dem entsprechenden Bereich.
objective_NewRooms	Neue Räume
objective_NewRooms_child_4_Description	In der Bäckerei haben Häftlinge die Möglichkeit, an alte und neue Schmuggelware zu gelangen. Angesichts der Tatsache, dass dort zu bestimmten Zeiten viele Häftlinge und Zivilisten aufeinander treffen, besteht die Gefahr, dass Häftlinge unter Umständen gewalttätig werden.
objective_NewRooms_child_8_Description	Im Restaurant haben Häftlinge die Möglichkeit, an alte und neue Schmuggelware zu gelangen. Angesichts der Tatsache, dass dort zu bestimmten Zeiten viele Häftlinge und Zivilisten aufeinander treffen, besteht die Gefahr, dass Häftlinge unter Umständen gewalttätig werden.
objective_ScaredStraight	Drei-Verstöße-Programm
objective_ScaredStraight_child_1	Häftlinge für das Programm trainieren
objective_ScaredStraight_child_2	Wie das Programm funktioniert
objective_ScaredStraight_child_2_Description	Im Rahmen des Programms werden Zivilisten, die eine letzte Warnung von den Strafverfolgungsbehörden erhalten haben, in das Gefängnis eingeladen, um im Kontakt mit den Häftlingen mit dem Leben im Gefängnis konfrontiert zu werden. Häftlinge und Zivilisten werden dabei in zwei Gruppen geteilt. Die Häftlinge teilen ihre Erfahrungen mit und erzählen, warum man Haft vermeiden sollte. \n\nEin Wächter beaufsichtigt den reibungslosen und ordnungsgemäßen Ablauf der Gruppensitzungen.
objective_ScaredStraight_child_3	Verteile bei Abschluss des Programms
objective_ScaredStraight_child_3_Description	Für den erfolgreichen Abschluss des Programms erhalten die Häftlinge einen kleinen Bonus auf ihre Rückfallquote und eine adäquate Erhöhung ihrer Arbeitserfahrung. Zusätzlich senkt sich ihr Siedepunkt und sie erhalten einen Bonus auf die Bedürfnisse Familie und/oder Freiheit.
objective_BehaviouralPrograms	Neue Verhaltensprogramme
objective_BehaviouralPrograms_child_1	Tiertherapie-Programm
objective_BehaviouralPrograms_child_1_Description	Die Tiertherapie ähnelt anderen bestehenden Programmen, bringt aber zusätzliche Vorteile für Häftlinge ein, die den Kurs erfolgreich abschließen. \n\nDas Programm ist auf mehrere Sitzungen verteilt. Häftlinge, die das Programm besuchen und abschließen, verringern ihre Rückfallquote, senken ihren Siedepunkt, erhalten einen kleinen Vorteil in Sachen Komfort, Freiheit und Luxus, sowie die Chance, jeglichen negativen Ruf, den sie aktuell haben mögen, zu entfernen.
